Project Name,Package Name,Architecture Smell,Cause of the Smell
akto,com.akto.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MongoBasedTest; SampleDataToSTITest; CustomAuthUtilTest; SampleDataToSTI; CustomAuthUtil]; [TestJsonUtils]; [DaoConnect]; [TestUtils; Utils; RedactSampleData; TestRedactSampleData]; [TestRateLimitCache; RateLimitCache]; [HttpUtils]; [RandomString]; [RateLimitCache.CACHE_TYPE]; [RateLimitCache.IpInfo]; [DashboardMode]; [HtmlCleanPolicy]; [Token; JWT]; [AktoCustomException]; [Mention]. LCC (Lack of Component Cohesion) = 0.61
akto,com.akto.dto,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 78
akto,com.akto.dto,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.akto.dto.type; com.akto.dto.data_types; com.akto.util
akto,com.akto.dto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestOriginalHttpResponse; OriginalHttpResponse; TestOriginalHttpRequest; OriginalHttpRequest; RawApi; PercentageMatchRequest]; [TestApiInfo; ApiInfo; ApiInfo.ApiInfoKey; FilterSampleData; FilterSampleData.FilterKey; PolicyCatalog; CustomFilter; HttpResponseParams; HttpRequestParams; ApiInfoCatalog]; [Team]; [Team.UserType]; [AwsResources]; [SensitiveSampleData]; [IgnoreData; AktoDataType; CustomDataType]; [Log]; [AccountSettings]; [AccountSettings.SetupType]; [ApiToken]; [ApiToken.Utility]; [TagConfig]; [OTPMessage]; [BackwardCompatibility]; [UserAccountEntry]; [KafkaHealthMetric]; [TestEnvSettings]; [TestEnvSettings.LogLevel]; [Relationship]; [Relationship.ApiRelationInfo]; [APISpec]; [APISpec.Type]; [SignupInfo; SignupInfo.GoogleSignupInfo; SignupInfo.SlackSignupInfo; SignupInfo.WebpushSubscriptionInfo; SignupInfo.PasswordHashInfo; Config; Config.SlackConfig; Config.GoogleConfig; Config.WebpushConfig; Config.SalesforceConfig; User; SignupUserInfo]; [BurpPluginInfo]; [Markov]; [Markov.State]; [APIConfig]; [SampleRequestReplayResponse]; [HttpResponseParams.Source]; [TestRun]; [TestRun.TestRunStatus]; [AwsResource]; [CustomAuthType]; [Config.ConfigType]; [Scan]; [SensitiveParamInfo]; [PendingInviteCode]; [Dibs]; [RecordedLoginFlowInput]; [RBAC]; [RBAC.Role]; [Account]; [Attempt]; [Attempt.AttemptResult]; [Attempt.Success]; [Attempt.Err]; [Attempt.Status]; [ApiCollection]; [ApiInfo.AuthType]; [ApiInfo.ApiAccessType]. LCC (Lack of Component Cohesion) = 0.65
akto,com.akto.dto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.akto.dto; com.akto.dto.data_types; com.akto.dto
akto,com.akto.dto.type,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.akto.dto.data_types; com.akto.util; com.akto.dao
akto,com.akto.dto.type,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestUrlMethods; URLMethods]; [TestKeyTypes; KeyTypes; RequestTemplate; SingleTypeInfo; URLTemplate; URLStatic; TrafficRecorder; TestSubType; TestSingleTypeInfo; TestRequestTemplate]; [RequestTemplate.AllParams]; [RequestTemplate.MergeTrieKeyFunc]; [APICatalog]; [EndpointInfo]; [URLMethods.Method]; [SingleTypeInfo.SuperType]; [SingleTypeInfo.Position]; [SingleTypeInfo.SubType]; [SingleTypeInfo.ParamId]; [SingleTypeInfo.Domain]. LCC (Lack of Component Cohesion) = 0.55
akto,com.akto.dto.type,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.util; com.akto.dao.context.
akto,com.akto.dto.type,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.akto.dto.type; com.akto.util; com.akto.util.modifier; com.akto.dto.type
akto,com.akto.dto.data_types,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestPredicates; ContainsPredicate; NotBelongsToPredicate; IsNumberPredicate; BelongsToPredicate; StartsWithPredicate; EqualsToPredicate; RegexPredicate; EndsWithPredicate; TestCustomDataType; Conditions; Predicate]; [Predicate.Type]; [Conditions.Operator]. LCC (Lack of Component Cohesion) = 0.21
akto,com.akto.dto.testing,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 41
akto,com.akto.dto.testing,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.akto.dto.data_types; com.akto.dto.type; com.akto.dao.testing; com.akto.util; com.akto.dao
