Project Name,Package Name,Architecture Smell,Cause of the Smell
akto,com.akto.runtime,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.akto.runtime.policies; com.akto; com.akto.runtime.merge
akto,com.akto.runtime,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [APICatalogSync; Main; URLAggregator; TestApiCatalogSync; TestMainSubFunctions; Flow; MarkovSync; RelationshipSync; FlowTest; MarkovTest; RelationshipTest]; [APICatalogSync.ApiMergerResult]; [APICatalogSync.DbUpdateReturn]; [KafkaHealthMetricSyncTask]; [Main.AccountInfo]; [PayloadAnalyzer]. LCC (Lack of Component Cohesion) = 0.38
akto,com.akto.runtime,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.log; com.akto.dto.type.
akto,com.akto.runtime,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.log; com.akto.dao.
akto,com.akto.runtime,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.log; com.akto.dto.type; com.akto.dao.
akto,com.akto.runtime,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.dto; com.akto.dao.
akto,com.akto.runtime,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.akto.runtime; com.akto.runtime.policies; com.akto.runtime
akto,com.akto.runtime.merge,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.dao; com.akto.dto.type.
akto,com.akto.runtime.merge,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.dto; com.akto.dao.
akto,com.akto.runtime.merge,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.dao; com.akto.dto; com.akto.dto.type.
akto,com.akto.runtime.policies,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.akto.runtime.merge
akto,com.akto.runtime.policies,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AktoPolicies; AktoPolicyNew; ApiAccessTypePolicy; AuthPolicy; SetFieldPolicy; ApiAccessTypePolicyTest; AuthPolicyTest; SetFieldPolicyTest; TestAktoPolicy]; [AktoPolicyNew.UpdateReturn]; [TestAktoPolicyWithoutDbCall]. LCC (Lack of Component Cohesion) = 0.27
akto,com.akto.runtime.policies,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.dto.runtime_filters; com.akto.dto; com.akto.dao.context.
akto,com.akto.runtime.policies,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.dto.type; com.akto.dto.
akto,com.akto.runtime.policies,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.akto.dto; com.akto.dto.runtime_filters.
akto,com.akto.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.akto.runtime.policies; com.akto.parsers; com.akto.runtime; com.akto.testing; com.akto.listener; com.akto
akto,com.akto.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CustomAuthUtil; CustomAuthUtilTest; MongoBasedTest; SampleDataToSTI; SampleDataToSTITest]; [RedactSampleData; TestRedactSampleData; Utils; TestUtils]; [AktoCustomException]; [DashboardMode]; [HtmlCleanPolicy]; [HttpUtils]; [JWT; Token]; [Mention]; [RandomString]; [RateLimitCache; TestRateLimitCache]; [RateLimitCache.CACHE_TYPE]; [RateLimitCache.IpInfo]; [TestJsonUtils]; [DaoConnect]. LCC (Lack of Component Cohesion) = 0.61
akto,com.akto.action,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 51
akto,com.akto.action,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.akto.action.testing
